snippet,headline__main,year_mo,compound,negative,neutral,positive
"The third major contemporary art auction this week brought in another $88.9 million, including a record price for a Jean Michel Basquiat work, despite the mixed quality over all.",Basquiat Painting Brings $16.3 Million at Phillips Sale,201205,0,0,1,0
"As the Jets opened their practice center to the news media Thursday, much of the huddling was done around the locker of a new arrival, Tim Tebow.",Tebow Draws Crowd as Jets Open Locker Room,201205,0,0,1,0
"Corrections appearing in print on May 11, 2012.",Corrections: May 11,201205,0,0,1,0
Russia said Thursday that it had foiled a plot to attack the city of Sochi before and during the 2014 Winter Olympics.,"Russia: Plot Foiled, Officials Say",201205,-0.4767,0.134,0.866,0
"Dispersed to nearby towns and cities, Gramalote, Colombia, residents are slowly returning to the devastated town, to live among the ruins or at least in sight of them.","Trickling Back to Live Among, and Off of, a Hill Town’s Ruins",201205,-0.7845,0.21,0.79,0
"The Red Cross has suspended operations across much of Pakistan after the killing of a British nurse working for the organization late last month, the group announced Thursday.",Pakistan: Red Cross Halts Work,201205,-0.8176,0.231,0.769,0
Defense Minister Alberto Otarola and Interior Minister Daniel Lozada resigned Thursday after clashes between the armed forces and Shining Path rebels provoked a public outcry.,Peru: Cabinet Officials Resign,201205,-0.7717,0.31,0.64,0.051
President Vladimir V. Putin’s inner circle is said to believe that Russia had not benefited much from Mr. Obama’s “reset” policy.,"As Putin Postpones Meeting Obama, Analysts Seek Political Import",201205,0,0,1,0
"The Knicks, eliminated from the N.B.A. playoffs Wednesday night by Miami, are looking ahead to an off-season that will be dominated by important personnel decisions.",Knicks Players Promise to ‘Figure It Out’,201205,0.2023,0,0.93,0.07
"Documents related to ultra-Orthodox child sex abuse allegations show the difficult road victims and their families must tread as they seek justice through the secular court system, even as some parts of their community begin to loosen restrictions...",Prosecuting Child Sex Abuse Among Orthodox Jews,201205,-0.6808,0.194,0.733,0.073
"Allowing 2 unearned runs and striking out 10 over eight innings, C. C. Sabathia overcame two costly errors by Eduardo Nunez as the Yankees scored three runs in the fifth to beat the Rays.","Shaky Early, Yanks Steady Themselves by Leaning on Sabathia",201205,-0.4215,0.109,0.891,0
Security officials and their critics in Congress are sparring over whether current measures would have detected the latest underwear bomb.,Airplane Security Debated Anew After Latest Bombing Plot,201205,-0.4588,0.218,0.685,0.097
First baseman Ike Davis is hitting .179 with four home runs. He has been dropped from his cleanup spot in the batting order.,Mets Are Connecting; Davis Is Still Trying,201205,0,0,1,0
"Thousands of off-duty police officers and public sector workers protested pay and budget cuts, and the government’s proposed changes to pension plans.",Britain: Thousands Join Strike to Oppose Austerity Measures,201205,-0.4767,0.212,0.788,0
"A man accused of orchestrating the killings of 13 Chinese sailors on the Mekong River last year was extradited Thursday from Laos, according to Xinhua, the Chinese news agency.",China: Laos Extradites Suspect,201205,-0.7717,0.205,0.795,0
"Two airstrikes on Thursday in southern Yemen killed seven militants, including two top operatives of Al Qaeda, Yemeni officials said.",Yemen: Airstrikes Kill 7 Militants,201205,-0.5719,0.185,0.741,0.074
"Ethiopian troops and Somali government forces killed 17 Shabab rebels on Thursday, said the the governor of the Bakool region.",Somalia: Rebels Killed in Clash,201205,-0.743,0.259,0.741,0
Mr. Heymann’s biographies were admired for their comprehensiveness and criticized for their use of single sources to reconstruct historical events.,"C. David Heymann, Biographer of the Rich and Famous, Dies at 67",201205,0.2023,0.105,0.756,0.139
"Charges against Karl Vanderwoude, a 26-year-old Brooklyn man, were dropped after he was wrongly accused of groping four women in a highly publicized case.","Cleared, but Will the Next Person Be So Lucky?",201205,-0.5106,0.177,0.823,0
"Against the backdrop of President Obama’s same-sex marriage endorsement, Mitt Romney faced fallout over allegations that he had once taunted a classmate who later came out as gay.",Bullying Story Spurs Apology From Romney,201205,0.3182,0,0.919,0.081
Britain and other European Union members fear that a ban on insurers covering Iranian oil ships could have harmful economic effects.,European Countries Seek Easing of Provision Included in Iranian Oil Embargo,201205,-0.7783,0.274,0.726,0
Judge Louis Pollak stood up for the rights and dignity of the powerless.,"Louis Pollak, a ‘Powerful Heart’",201205,-0.128,0.189,0.651,0.16
"In Greenpoint, Brooklyn, some residents want the city to enforce an obscure law barring sidewalk tables at cafes on Sunday mornings, citing the need for ample walking space.","As Greenpoint Gentrifies, Sunday Rituals Clash: Outdoor Cafes vs. Churchgoers",201205,0.0772,0,0.954,0.046
"To save the Postal Service, Congress must agree on a sensible reform plan that includes tough changes.","Capitol Hill, Slower Than Snail Mail",201205,0.6369,0.074,0.644,0.282
A female mallard that had lost most of its tongue and half its bill was found near 59th Street was euthanized at an animal hospital.,"Duck Is Mauled in Central Park, Apparently by a Loose Dog",201205,-0.3182,0.091,0.909,0
"One of six men in the lobby of a Hilton Garden Inn near Kennedy International Airport shot another and then himself, and it was unclear what might have prompted the gunfire.","Fatal Shooting in Hotel Lobby, Then a Suicide",201205,-0.2263,0.064,0.9,0.035
"The administration’s proposed rules for natural gas drilling are a good first step, but they need to be tightened.",To Make Fracturing Safer,201205,0.4019,0,0.812,0.188
"Alex Ovechkin is playing even fewer minutes against the Rangers than he did against Boston. And yet the less he plays, the more effective an offensive weapon he seems to be.",Ovechkin Making More Out of Less,201205,0.1157,0.142,0.677,0.18
The review of police actions appears to be part of a deeper critical look at Bo Xilai’s four-year reign in Chongqing.,Ex-Official’s Drive in China Leads to Torture Inquiry,201205,-0.3182,0.108,0.892,0
"These are the winning lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201205,0.5267,0,0.779,0.221
"DumbDumb, a company founded by the comedians Will Arnett and Jason Bateman, is offering advertisers a chance to run sponsored comedy videos on the TBS Web site.",Mixing Ads and Comedy Shorts Online for TBS,201205,0.6908,0,0.767,0.233
"The Kings have advanced to the N.H.L.’s Western Conference finals behind Jonathan Quick, an athletic goalie with an intense focus who is a finalist for the Vezina Trophy.","In Middle of Chaos, a Calming Force",201205,0.3182,0,0.883,0.117
"The Green Book, which generations of lobbyists, journalists and others have used to find out who does what in New York City, has been converted to an online directory.","After Decades, Directory Shifts to the Web",201205,0,0,1,0
"Watching John Edwards watch himself lie, when a 2008 television interview was played in the courtroom, was the most electric moment yet in his dramatic three-week trial.",Prosecution Rests After Presenting Video of Edwards’s Lies About His Affair,201205,0.34,0,0.912,0.088
"Pentagon officials emphasized that the government is working to locate Sgt. Bowe Bergdahl, who is being held captive by Afghan insurgents.",Pentagon Stresses Efforts to Recover U.S. Soldier Being Held in Afghanistan,201205,0,0,1,0
There is a quiet realization that American factories need subsidies to survive globally — especially to compete with Asian and European companies that routinely receive government assistance.,Subsidies Aid Rebirth in U.S. Manufacturing,201205,0,0,1,0
"Rather than fighting terrorism, Pakistani judges and journalists are pursuing political vendettas against an elected government.",How Pakistan Lets Terrorism Fester,201205,-0.7964,0.336,0.664,0
"Former State Senator Pedro Espada Jr. of the Bronx, on trial with his son Pedro Gautier Espada, said “evil spiritual powers” were at work after jurors indicated progress on their deliberations.","In Reversal, Espada Jurors Indicate a Verdict Is Near",201205,0.4215,0,0.915,0.085
Greeks have not been able to give expression to the complexity of both yes to Europe and no to austerity.,The Choice That Wasn’t,201205,0.128,0.096,0.786,0.118
Two of the leading candidates to become Egypt’s next president traded barbs about their political histories and arguments about the role of religion in public life.,"Egyptian Candidates Clash in TV Debate, an Arab First",201205,-0.4019,0.097,0.903,0
"Tiger Woods and Rickie Fowler were a high-profile pairing in the first round of the Players Championship, but their scores didn’t live up to anyone’s expectations.",Woods Settles Closer to Cut Line Than Lead,201205,0.2382,0,0.925,0.075
Andre Iguodala sank the winning free throws and finished with 20 points as the Philadelphia 76ers ousted the Chicago Bulls in six games.,Sixers Finish Off an Upset of the Battered Bulls,201205,0.7717,0,0.758,0.242
"The benefits of breast-feeding are many, but hospitals undermine the practice by sending mothers home with free samples of baby formula.",Maternity Ward Swag,201205,0.5346,0.104,0.665,0.231
"Nearly four weeks after the Secret Service prostitution scandal erupted, American government investigators have interviewed the Colombian prostitute at the center of the affair.",U.S. Investigators Interview Escort Linked to Secret Service Scandal,201205,-0.4404,0.112,0.888,0
A 14-year-old boy was charged with murder on Friday in the strangling death of his 9-year-old half-sister.,Alabama: Teenager Charged in Half-Sister’s Death,201205,-0.886,0.444,0.556,0
A former New England Mafia boss was sentenced to 5 ½ years in prison on Friday for his role in the shakedown of Providence strip clubs.,Rhode Island: Former Mob Boss Gets 5 ½ Years,201205,-0.6808,0.239,0.761,0
"The polo tycoon John Goodman was sentenced to 16 years in prison for driving under the influence, manslaughter and vehicular homicide in the death of Scott P. Wilson, 23.",Florida: Polo Mogul Is Sentenced to 16 Years,201205,-0.8074,0.242,0.758,0
"JPMorgan Chase fought for the ability for banks to make big bets in their portfolios, including some of the types of trading that led to the $2 billion loss now rocking the bank.",JPMorgan Sought Loophole on Risky Trading,201205,-0.3182,0.125,0.813,0.062
"As the diplomatic dispute over the rock outcropping continued, Chinese officials accused the Philippines of organizing protests outside Chinese embassies.",Filipinos Rally Against China's Claim to Shoal,201205,-0.7003,0.286,0.714,0
"Corrections appearing in print on May 12, 2012.",Corrections: May 12,201205,0,0,1,0
Ms. Redman was widely acclaimed for her intelligent stage presence in Shakespearean drama and French comedy.,"Joyce Redman, Actress Who Feasted on Many Roles, Dies at 96",201205,0.6705,0,0.718,0.282
"No woman has piloted an airplane more than Mrs. Johnson, who flew 5.5 million miles and the equivalent of more than six and a half years in flight hours.","Evelyn B. Johnson, Pilot and Instructor, Dies at 102",201205,-0.296,0.075,0.925,0
JP Morgan most likely structured a complicated trade in a way that effectively magnified losses.,"At JPMorgan Chase, a Complex Strategy That Backfired",201205,0.4084,0.149,0.551,0.3
"Lottery Numbers for New York, New Jersey and Connecticut for May 11, 2012.",Lottery Numbers,201205,0,0,1,0
"Mayor Michael R. Bloomberg and leading mayoral candidates rebuked Charles J. Hynes, the Brooklyn district attorney, for his handling of sex-abuse cases in the ultra-Orthodox community.",Bloomberg Among Critics of Prosecutor in Brooklyn,201205,0,0,1,0
"The Chesapeake Energy Corporation might delay asset sales, the company said on Friday, pushing its stock down to its lowest level in more than three years.",Chesapeake Energy Might Delay Asset Sales,201205,-0.0772,0.156,0.698,0.146
Olympiakos Piraeus and CSKA Moscow reached the final of the Euroleague after dramatic wins over more heralded rivals in Istanbul.,Olympiakos and CSKA Reach Final,201205,0.6249,0,0.779,0.221
"Secure Communities, a controversial Immigration and Customs Enforcement program to identify illegal immigrants, will expand across Massachusetts and New York next week.","Despite Opposition, Immigration Agency to Expand Fingerprint Program",201205,-0.1779,0.199,0.627,0.173
"A judge in Virginia has dismissed drunken driving charges against J. Randolph Babbitt, who resigned as administrator of the Federal Aviation Administration after being arrested in December.",F.A.A. Chief Who Quit Is Cleared of Charges,201205,-0.7351,0.238,0.762,0
"The Mets rallied from a 3-0 deficit to take the lead into the ninth, but then the Marlins struck against closer Frank Francisco.","Scoring Two Against Francisco, Marlins One-Up the Mets’ Comeback",201205,-0.5187,0.179,0.821,0
"Seun Adebiyi launched Nigeria’s national bone-marrow registry, a potential lifesaver for black cancer patients, after experiencing firsthand the difficulty of finding donors for those of African descent.","Finding a Match, and a Mission: Helping Blacks Survive Cancer",201205,-0.3612,0.199,0.645,0.155
Raul Ibanez’s three-run homer in the sixth canceled out Jesus Montero’s solo shot in the top of the inning and helped back a solid outing from Hiroki Kuroda.,Ibanez’s Homer Assures That Montero’s Blast Doesn’t Haunt Yankees,201205,0.34,0,0.88,0.12
"Both the Rangers, who are 4-0 at home in Game 7’s in team history, and the Capitals, who beat the Bruins in a Game 7 in the first round, are ready for Saturday’s decisive game.","Rangers, Through Second-Guessing, Just Want to Play Game 7",201205,0.5267,0,0.876,0.124
"The city released hundreds of e-mail messages Friday, providing a look at one of Mayor Michael R. Bloomberg’s major battles, the 2010 campaign to expand charter schools.",E-Mails Provide Inside Look at Mayor’s Charter School Battle,201205,-0.0772,0.09,0.83,0.08
The sale was the latest move in a continuing effort to shed assets unrelated to the company’s flagship newspaper.,New York Times Company Sells Final Stake in Fenway Sports,201205,0.2732,0,0.838,0.162
"Two rarely performed works by Gustav Holst — “Savitri,” drawn from the Sanskrit epic, the Mahabharata, and “The Wandering Scholar,” which takes place in the Middle Ages — were staged by the Little Opera Theater of New York at 59E59 Theaters.",When Holst Read the Mahabharata,201205,0,0,1,0
"Alexis Tsipras, the leader of the party Syriza, hopes to ride a tide of anti-austerity sentiment to break from four decades of ossified two-party government in Greece.",Leftist Party’s Rise Upends Greek Political Order,201205,0.6705,0,0.814,0.186
"A Devils follower recalls the classic series with the Rangers 18 years ago, and looks ahead to a possible rematch.",Memories of a 1994 Classic,201205,-0.5719,0.179,0.821,0
"In 1994, all the writer wanted was to see the Rangers win the Stanley Cup, and to be in the Garden when it happened. Things are different this year.","When I Root, God Laughs",201205,0.5859,0,0.881,0.119
Religious leaders in Brooklyn’s ultra-Orthodox Jewish communities must ensure that molesters are brought to justice.,Who Speaks for the Children?,201205,0.4215,0.151,0.566,0.283
"The main candidates have said that security and the economy are the most important issues to voters, but a debate returned repeatedly to questions about religious influence.",Egyptian Campaign Focuses on Islam’s Role in Public Life,201205,0.3064,0,0.881,0.119
"Marc Gasol scored 23 points as Memphis edged the Clippers in Los Angeles, ensuring that their playoff series will be decided on the Grizzlies’ home court.",Grizzlies Win and Go Home for Game 7,201205,0.2732,0,0.923,0.077
"Russia’s protest movement appears to have entered a new and unpredictable stage, and Sergei Udaltsov, one of its most prominent leaders, is at the center of a debate about its future.",A Russian Protest Leader Takes Center Stage,201205,0.1513,0.063,0.855,0.082
Boston and Philadelphia will meet in the second round of the N.B.A. playoffs as longtime rivals and as two of the league’s top defensive teams.,Veterans Against Youth in Celtics-76ers Matchup,201205,0.2263,0,0.888,0.112
"Many people were surprised that the vote on same-sex marriage in North Carolina was so decisive, but the state’s political inconsistencies include a long tradition of social conservatism.","In North Carolina, Beliefs Clash on Marriage Law",201205,0.295,0,0.887,0.113
The International Energy Agency said on Friday that the tension between Iran and the West would likely keep oil prices high despite an improvement in world supply.,"‘Geopolitical Risks’ Keep Oil Expensive, but Plentiful",201205,-0.3979,0.155,0.777,0.068
"Now in its third year of existence, the Florida women’s lacrosse program has blazed its way to the top of the sport, earning a No. 1 national ranking and the top overall seed in the N.C.A.A. tournament.",No. 1 Florida Wastes No Time in Becoming a Force,201205,0.1027,0.058,0.847,0.095
Rory McIlroy missed the cut for the third time in three tries at the Players Championship while Tiger Woods finished the day with a four-under 68.,McIlroy Is Afterthought Again at Players Championship,201205,-0.1027,0.147,0.753,0.099
"Neptalí Segovia, a veteran crossword writer, is accused of hiding a coded message urging the death of President Hugo Chavez’s brother, who is the governor of Barinas State.",Crossword Puzzle Stirs Controversy in Venezuela,201205,-0.8074,0.265,0.735,0
"The family of Harry Seggerman, an investment fund president, was told how to hide more than $10 million in foreign accounts to avoid paying United States taxes, a federal complaint claims.","Family Told How to Hide Inheritance, U.S. Claims",201205,-0.3182,0.175,0.745,0.08
The Republican Party continues to try to disenfranchise voters. Just look at what one Georgia congressman tried to do this week.,The Struggle to Vote,201205,0.4019,0,0.881,0.119
"Brian J. Weiss, the man who was fatally shot at a Queens hotel, was a Web marketer whose business had been the focus of thousands of consumer complaints.",Businessman Killed at Hotel Had Host of Critics,201205,-0.7845,0.223,0.777,0
"Merging a love of cycling with a cross-country writing project, Maya Stein is riding 40 miles a day for 40 days, until she reaches Milwaukee, stopping along the way to hear others’ tales.","With a Typewriter in Tow, a Cyclist Fosters Creativity",201205,0.5859,0.047,0.794,0.159
"Loretta Brett was convicted of manslaughter on Friday, in the death of Marchella Pierce, a Brooklyn girl who died in 2010 after being battered and starved.",Grandmother Guilty in 4-Year-Old’s Death,201205,-0.9022,0.335,0.665,0
Jesus Montero returned to the Bronx for the first time since the Yankees dealt their top hitting prospect to Seattle for two pitchers who are currently on the disabled list.,"In Heart of Mariners Lineup, a Reminder to the Yankees",201205,0.4588,0,0.875,0.125
"Some residents say a plan to name a street after Officer Phillip W. Cardillo, who was fatally shot in a renowned Harlem mosque in 1972, will reopen old wounds, not heal them.",Harlem Split on Plan to Honor Officer Killed in Mosque in ’72,201205,-0.6369,0.13,0.87,0
"All past and present partners could lose pensions, and recent partners will probably lose investments in the firm and could be forced to return salaries as the firm closes.","As Dewey Collapses, Partners and Retirees Face Big Financial Losses",201205,-0.8126,0.244,0.756,0
"Good nonsense is vastly harder than good tragedy, and the writer of “The Owl and the Pussy-Cat” is as good as it gets.","Edward Lear, 200 Years On",201205,0.1531,0.21,0.533,0.257
"Catherine Ashton, the lead negotiator for the six-nation group bargaining with Iran over its contentious uranium enrichment program, did not offer specifics about talks on May 23 in Baghdad.",Nuclear Negotiator Seeks ‘Beginnings of the End’ of Iran Dispute,201205,-0.296,0.073,0.927,0
Nick Johnson hit his first home run in two years as Baltimore beat Tampa Bay.,Johnson’s Homer Propels the Orioles,201205,0,0,1,0
President Obama spoke on Friday with homeowners in Nevada who have benefited from mortgage refinancing policies his administration introduced last year.,Obama Returns to Topic of Economic Recovery,201205,0,0,1,0
"Justin Faulk of the Carolina Hurricanes scored four minutes into overtime, sending the United States to a 3-2 victory over Kazakhstan at hockey’s world championships in Helsinki, Finland.",U.S. Defeats Kazakhstan,201205,0.7184,0,0.806,0.194
"Novak Djokovic lost, 7-6 (2), 6-3, to Janko Tipsarevic in the Madrid Open quarterfinals, becoming the latest big name to lose on the new blue-clay court.",Early Exit for Djokovic,201205,-0.6124,0.172,0.828,0
The couple was married Saturday at the Ritz-Carlton in Philadelphia.,"Lauren Lipani, Mark Neuman",201205,0,0,1,0
The couple met at Harvard.,"Marisa Anz, Philip Marxen",201205,0,0,1,0
"The couple, who received their law degrees from Harvard, marry in Virginia.","Stephanie Early, Alastair Green",201205,0,0,1,0
"The couple, who met at Boston College, are married in Newport, R.I.",Allison Bensley and Skip Paul,201205,0,0,1,0
The bride is a teacher; the bridegroom works for an advertising company.,"Katherine Bannon, Erik Johnson",201205,0,0,1,0
"The bride is a digital communications specialist for the Raytheon Company, the bridegroom an editorial supervisor for GlobeNewswire.","Julia Bensfield, Nathaniel Luce",201205,0,0,1,0
The marriage is to take place on the 25th anniversary of the day the couple met.,"Gary Mihalik, Frank Pieri",201205,0,0,1,0
"The couple are to be married on Sunday at Gantry Plaza State Park in Long Island City, Queens.","Sarah Thein, Owen Weber",201205,0,0,1,0
"The bride is an obstetrics and gynecology resident, the bridegroom a lawyer specializing in banking and finance.","Rebecca Podolsky, Timothy Geller",201205,0,0,1,0
The bride is a freelance video producer specializing in foods and restaurants; the bridegroom is a lawyer whose father and stepmother are judges made famous by television.,Laurie Pila and Gregory Sheindlin,201205,0.296,0,0.916,0.084
The wedding of an artistic couple.,Anna Ogier-Bloomer and Delano Dunn,201205,0,0,1,0
The couple met at Columbia.,"Ariel Wagner, Matthew Levitan",201205,0,0,1,0
"The bride, a special investigative counsel for New York State, and the bridegroom, a counsel in the corporate department of Hughes Hubbard & Reed, marry in New York.","Rachel Pauley, Daniel Litowitz",201205,0.4019,0,0.899,0.101
"The bride, a veterinary nurse, and the bridegroom, a marketing manager for Showtime, are married in New York.",Stephanie Neufeld and Brandon Helrich,201205,0,0,1,0
"The couple met at Boston College, from which they both graduated and from which the bride received a master’s in higher education administration.","Kathryn Onka, Craig Dorsett",201205,0,0,1,0
The bride works in marketing. The bridegroom is a physical education teacher and coach.,"Elyse Lupin, Phil Chang",201205,0,0,1,0
"The couple met on Jdate in 2007, and started dating after the groom invented a research project that brought him back to Boston.","Ashley Heller, David Reiner",201205,0,0,1,0
The bride is pursuing a master’s degree in English; the bridegroom is to become a clinical assistant instructor in a joint program of Stony Brook and Columbia.,"Sara Basgaard, Charles diPierro",201205,0,0,1,0
"Charlotte Kinkead Landrum, the daughter of Janice Johnson Landrum and Kinny Landrum of Sleepy Hollow, N.Y., is to be married Sunday evening to Alexander Hirsch Levitt, a son of Ellen Hirsch Levitt and Harry Levitt of Pacific Palisades, Calif.","Charlotte Landrum, Alexander Levitt",201205,0,0,1,0
"The couple, avid sailors, met after the bridegroom ended up on the father-of-the-bride’s boat during the Newport Bermuda Race out of Rhode Island.","Carolyn Landis, Edward Briganti",201205,0.296,0,0.909,0.091
"The bride is a manager for the American Cancer Society, the bridegroom a marketing representative for Disney-ABC Television.","Elizabeth Lombardi, Nicholas Mayer",201205,-0.6597,0.227,0.773,0
The bride graduated from Princeton; the bridegroom from Duke.,"Anne Riker Purcell, David Powell",201205,0,0,1,0
"The bride is a graduating college senior, the bridegroom a staff lawyer who is joining the Army’s Judge Advocate General’s Corps.","Samantha Moskowitz, Michael Levin",201205,0,0,1,0
"The couple, both 25, met at Stanford.","Molly Goldstein, Johannes Decker",201205,0,0,1,0
A Times employee weds a Huffington Post reporter.,"Emma Graves Fitzsimmons, Gerry Smith",201205,0,0,1,0
"The couple, who met at Duke while getting their law degrees, marry.","Aleksandra Kopec, Lucas Przymusinski",201205,0,0,1,0
"The couple, both lawyers, are married in Virginia.","Courtney Cherry, David Ellis",201205,0,0,1,0
The bride teaches fifth-grade writing at the Bedford Stuyvesant Collegiate Charter School in Brooklyn; the bridegroom is an associate at a law firm.,"Kathryn Baxter, Christopher Greene",201205,0,0,1,0
Two Drexel University graduates are wed.,"Niralee Shah, Ankur Shah",201205,0,0,1,0
The couple are married in the Bahamas.,"Elizabeth Walker, Edward Swenson",201205,0,0,1,0
The bride is an associate in corporate communications for Morgan Stanley; the bridegroom is a vice president of global markets trading in the New York office of HSBC.,"Lauren Onis, Charles Bellmare",201205,0,0,1,0
The bride creates interactive exhibits for museums and corporate clients; the bridegroom is an associate at Goldman Sachs.,Ariel Newland and John Kennan,201205,0.2732,0,0.89,0.11
The State Department could jettison a multibillion-dollar training effort by the end of 2012 that has emerged as the latest high-profile example of America’s waning influence in the country.,U.S. May Scrap Costly Efforts to Train Iraqi Police,201205,0,0,1,0
"Cool and refreshing. Vodka, soda, lime. That’s it. Perfect for a bar stop and also for cocktail hour at home.",It’s 5 O’Clock Somewhere,201205,0.5859,0.091,0.661,0.248
"A fresh drink with lemon juice and gin, this concoction takes its nationality from a topping of Champagne.",It’s 5 O’Clock Somewhere,201205,0.5423,0,0.757,0.243
"A classic Southern drink for sipping on a hot afternoon. Be sure to have lots and lots of mint. If it seems to be too much, it’s probably just right.",It’s 5 O’Clock Somewhere,201205,0.3182,0,0.922,0.078
Rickie Fowler is three strokes back at the Players Championship after three rounds as he looks to become the first player to win consecutive events since Tiger Woods in 2009.,"After Fowler’s First Tour Win, Talk of Winning Streak",201205,0.7717,0,0.807,0.193
"Kevin Na, whose struggles with his setup led to a warning for slow play, led the Players Championship by a stroke on Saturday.","For Na, Shaky Swings but a Solid Score",201205,0.1027,0.18,0.625,0.195
"The Rangers won another closely fought Game 7, advancing to the Eastern Conference finals for the first time since 1997 on goals from Brad Richards and Michael Del Zotto.","Rangers Win Game 7, Setting Up Series With the Devils",201205,0.34,0.07,0.818,0.112
"C. J. Wilson became the first major league pitcher in 11 seasons to start consecutive games, helping the Angels defeat the Rangers, his former team.",Angels Beat Rangers in a Do-Over for Wilson,201205,-0.2023,0.106,0.816,0.078
"After this week’s disappointing economic figures, China’s central bank said Saturday that it would reduce the share of deposits banks must set aside as reserves.","Amid Signs of Economic Weaknesses, China to Free Cash for Lending",201205,-0.25,0.113,0.81,0.077
"Lottery Numbers for May 12, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201205,0,0,1,0
"Bob Fu, a Chinese-born pastor who started the dissident group ChinaAid, was instrumental in calling attention to the plight of the activist Chen Guangcheng.","Echoing Out of Texas, Chinese Voice of Dissent for Religious Freedom",201205,-0.6908,0.176,0.824,0
A charge against two Penn State officials is likely to be dismissed now that prosecutors have changed the date they claim Jerry Sandusky sexually assaulted a boy in the team’s showers.,Change in Penn State Charge,201205,-0.5267,0.108,0.892,0
"Michael Phelps was edged by Wu Peng of China in the 200-meter butterfly at the Grand Prix in Charlotte, N.C.",Phelps Second in 200 Butterfly,201205,0.4588,0,0.864,0.136
"Paolo Tiralongo of Italy won the seventh stage of the Giro d’Italia on Saturday, finishing a 125-mile leg from Recanati to Rocca di Cambio in 5 hours 51 minutes 3 seconds.",Italian Takes Giro Stage,201205,0.5719,0,0.879,0.121
"NATO did not confirm the nationality of the victims, but a spokesman for the governor of Helmand Province said that they were British soldiers.",Gunmen in Afghan Police Uniforms Kill 2 NATO Soldiers,201205,-0.1655,0.07,0.93,0
"Serena Williams will meet Victoria Azarenka in the final of the Madrid Open on Sunday after beating the qualifier Lucie Hradecka, 7-6 (5), 6-0.",Serena Williams in Madrid Final,201205,-0.4588,0.115,0.885,0
"American divers took medals in all four finals at the USA Diving Grand Prix in Fort Lauderdale, Fla.",U.S. Wins Medals in Four Events at Diving Grand Prix,201205,0.5106,0,0.788,0.212
"Robert Lewandowski scored a hat trick to help the Bundesliga champion Borussia Dortmund beat Bayern Munich, 5-2, in the German Cup final.",German Cup Title for Borussia Dortmund,201205,0.7506,0.047,0.698,0.256
"Colin Briggs and Chris Bocklet scored two goals each, and host Virginia (12-3), last year’s champion, won by 6-5 against Princeton (11-5) in the first round of the N.C.A.A. men’s tournament.",Virginia Begins Title Defense With Victory Against Princeton,201205,0.8225,0,0.792,0.208
"Roger Federer won the Madrid Open for the third time, rallying past Tomas Berdych, 3-6, 7-5, 7-5, on Sunday and overtaking Rafael Nadal for the No. 2 ranking behind Novak Djokovic.",Federer and Serena Williams Claim Titles at Madrid Open,201205,0.3612,0.065,0.826,0.109
"Ricardo Santos shot a nine-under-par 63 to win the Madeira Islands Open by four strokes, becoming the first Portuguese-born golfer to win on the European Tour in his home country.",Portuguese Wins at Home,201205,0.8225,0,0.78,0.22
"Corrections appearing in print on May 14, 2012.",Corrections: May 14,201205,0,0,1,0
"Pastor Maldonado held off Fernando Alonso to win the Spanish Grand Prix in Barcelona, giving the Williams team its first Formula One victory in eight years.",Fire in Garage Cuts Short Party After Formula One Victory,201205,0.8481,0,0.714,0.286
"Domenico Pozzovivo of Italy won the 142.3-mile eighth stage of the Giro d’Italia after a strong ride on the tough uphill finish to Lago Laceno, Italy.",Slim Lead in Giro for Canadian,201205,0.7579,0.049,0.721,0.23
Dwight King scored his second goal of the game into an empty net and the Kings opened the Western Conference finals with a victory over the Coyotes on Sunday night.,Another Win on the Road for the Kings,201205,-0.2023,0.06,0.94,0
"Mobile technology is changing the landscape of health care delivery across the developing world by giving people the ability to connect with doctors, nurses and other providers.",Exploring the Role of Mobile Technology as a Health Care Helper,201205,0.7845,0,0.752,0.248
"Floyd Mayweather Jr., the 35-year-old boxing champion, needs a landmark bout against a fighter like Manny Pacquiao to leave a lasting mark on the sport.",Money Can’t Buy What Mayweather Needs Most,201205,0.7964,0.044,0.618,0.338
"The Rangers and the Devils split their six-game season series, but the final scores practically became an afterthought because of spillages of animosity.","When It’s Rangers-Devils, the Fists Win",201205,-0.7351,0.228,0.772,0
"Jimmie Johnson’s win, the 200th for Rick Hendrick as an owner, competed for attention with a clash involving Kurt Busch and Ryan Newman.",A Hendrick Milestone Amid a Busch Brouhaha,201205,0.5859,0,0.847,0.153
"A federal judge in Kentucky explained why Marker’s Mark’s trademark, a red wax seal, must be protected.",The Mark of Maker’s Mark,201205,0.4404,0,0.828,0.172
"Steve MacNamara, Gov. Rick Scott’s top aide, quit after a series of news articles detailed his job performance and handling of contracts.",Florida Governor’s Chief of Staff Quits Under Scrutiny,201205,0.2023,0,0.917,0.083
"The House version of the Violence Against Women Act is not only regressive, but also removes improvements the Senate bill made to the law.",Backward on Domestic Violence,201205,0.1027,0.093,0.8,0.107
"Sgt. Bowe Bergdahl, who was captured in 2009 and is America’s only known current prisoner of war, saw enlisting in the Army as a way to find a direction, relatives say.",Idahoan’s Unlikely Journey to Life as a Taliban Prisoner,201205,-0.8126,0.215,0.785,0
